Unnamed: 0	observableId	simulationConditionId	measurement	time
415	obs_pRB__nuc_median	wt	1.7875399638132143	7755
416	obs_pRB__nuc_median	wt	1.791154647053188	8460
417	obs_pRB__nuc_median	wt	1.7940208535547597	9165
418	obs_pRB__nuc_median	wt	1.796181808808026	9870
419	obs_pRB__nuc_median	wt	1.7977068770358589	10575
420	obs_pRB__nuc_median	wt	1.7986821026924373	11280
421	obs_pRB__nuc_median	wt	1.7992024407446032	11985
422	obs_pRB__nuc_median	wt	1.7993656094100041	12690
423	obs_pRB__nuc_median	wt	1.7992673423131256	13395
424	obs_pRB__nuc_median	wt	1.7989978662615527	14100
425	obs_pRB__nuc_median	wt	1.7986395365469086	14805
426	obs_pRB__nuc_median	wt	1.798265609933718	15510
427	obs_pRB__nuc_median	wt	1.797940126698172	16215
428	obs_pRB__nuc_median	wt	1.7977188220268965	16920
429	obs_pRB__nuc_median	wt	1.7976509073355957	17625
430	obs_pRB__nuc_median	wt	1.7977814891751547	18330
431	obs_pRB__nuc_median	wt	1.798154320324301	19035
432	obs_pRB__nuc_median	wt	1.7988144314689647	19740
433	obs_pRB__nuc_median	wt	1.7998098216293132	20445
434	obs_pRB__nuc_median	wt	1.8011905633395164	21150
435	obs_pRB__nuc_median	wt	1.8030022777543526	21855
436	obs_pRB__nuc_median	wt	1.8052704689854169	22560
437	obs_pRB__nuc_median	wt	1.8079785855021158	23265
438	obs_pRB__nuc_median	wt	1.811058623678481	23970
439	obs_pRB__nuc_median	wt	1.8144110257189303	24675
440	obs_pRB__nuc_median	wt	1.817934650770338	25380
441	obs_pRB__nuc_median	wt	1.821541424433194	26085
442	obs_pRB__nuc_median	wt	1.825158803630947	26790
443	obs_pRB__nuc_median	wt	1.8287296993229514	27495
444	obs_pRB__nuc_median	wt	1.8322119022327683	28200
445	obs_pRB__nuc_median	wt	1.8355764760753406	28905
446	obs_pRB__nuc_median	wt	1.838805308550926	29610
447	obs_pRB__nuc_median	wt	1.841888469015677	30315
448	obs_pRB__nuc_median	wt	1.844821869704582	31020
449	obs_pRB__nuc_median	wt	1.8476054245548867	31725
450	obs_pRB__nuc_median	wt	1.8502416896026046	32430
451	obs_pRB__nuc_median	wt	1.8527348975221223	33135
452	obs_pRB__nuc_median	wt	1.8550902909121578	33840
453	obs_pRB__nuc_median	wt	1.8573136531859322	34545
454	obs_pRB__nuc_median	wt	1.8594109996397898	35250
